1766225,441488,35.633009
1342400,335488,34.105731
934800,233488,32.236305
617700,154240,30.268261
373950,93248,28.172761
205375,51248,25.865784
111425,28029,23.340704
56975,14525,20.391016
27950,7462,17.835776
13750,5322,20.771508
7525,2764,17.704084
1766225,441488,35.640246
1342400,335488,34.131334
934800,233488,32.221249
617700,154240,30.289489
373950,93248,28.161392
205375,51248,25.867032
111425,28022,23.355765
56975,14525,20.398977
27950,7457,17.893676
13750,5322,20.771508
7525,2764,17.704084
1766225,441488,35.620092
1342400,335488,34.112802
934800,233488,32.240053
617700,154240,30.260229
373950,93248,28.157467
205375,51248,25.823459
111425,28025,23.359762
56975,14525,20.393729
27950,7454,17.798754
13750,5322,20.771508
7525,2764,17.704084
1766225,441488,35.652530
1342400,335488,34.061324
934800,233488,32.234373
617700,154240,30.328488
373950,93248,28.136740
205375,51248,25.854520
111425,28022,23.337730
56975,14525,20.391560
27950,7458,17.848850
13750,5322,20.771508
7525,2764,17.704084
1766225,441488,35.657918
1766225,441488,35.631425
1342400,335488,34.111983
934800,233488,32.240462
617700,154240,30.296715
373950,93248,28.157015
205375,51248,25.842653
1766225,441488,35.612542
1342400,335488,34.089269
934800,233488,32.217942
617700,154240,30.264530
373950,93248,28.118926
205375,51248,25.836984
111425,28022,23.377897
56975,14530,20.472101
27950,7454,17.805449
13750,5322,20.771508
7525,2764,17.704084
