1,3166313,60.197470
6,2309233,53.594173
11,1561547,49.401408
16,996244,45.231511
21,598250,41.130765
26,348508,37.447197
31,199253,34.111943
36,106613,30.998741
41,53959,28.187742
46,26771,25.906083
51,14518,24.067935
1,3410866,60.088845
6,2533637,53.605650
11,1705324,49.358103
16,1036601,45.170225
21,592585,41.386497
26,337609,37.981070
31,189750,34.828987
36,102191,31.923934
41,58110,29.449721
46,37018,27.211325
51,25341,25.044715
1,1596899,59.276267
6,774612,53.218530
11,357851,50.431390
16,203505,48.092313
21,120515,45.378409
26,73699,42.370865
31,45414,39.203338
36,27504,36.169949
41,16550,33.173826
46,10248,30.587967
51,6334,27.969553
